zams_mass,M_star,nz,R_star,M_He,xi25,M4,mu4,M_O,M_Ne,M_Mg,M_Si,MgNe,SiNe,SiO,m_O_inner,m_O_outer
16.57,13.31,4581,69153287350247.414,5.0471314682639505,0.20473429018607558,1.6880546835262717,0.09294373966313357,1.21162812887866,0.3070868846899622,0.053379479383693605,0.0716609514219232,0.17382533102182474,0.23335725162692236,0.05914434446833463,1.9683062449182611,3.8228298934366807
16.58,13.07,4577,70130688433579.23,5.116180393470992,0.23328194915185838,1.7609448609714031,0.10199091529958028,1.3395288449030973,0.24181616497469244,0.0295558800380413,0.17381798535920567,0.12222458346047504,0.7188021751043683,0.12976053932737808,1.8161323516959127,3.88941147667822
16.59,13.06,4583,70338487926386.94,5.123480334262332,0.2494579723540294,1.7786855550761629,0.10270009840062948,1.328383374645067,0.19033348183517665,0.021088750076181065,0.20088291576491907,0.1107989507302941,1.0554260544599186,0.15122359975228786,1.826101773789672,3.89462477406042
16.6,13.3,4594,69430600257308.945,5.072607465747745,0.23193008424089032,1.7536384461679466,0.10060494127650492,1.309001568010659,0.2259577990437473,0.026719031689990874,0.1805288330930735,0.11824788435303288,0.7989493341547446,0.13791338185135274,1.817535125613688,3.8531495062471373
16.61,13.49,4605,68811715243430.945,5.038877613585076,0.20936697380802735,1.69299181881934,0.09356520046088945,1.212745319953298,0.2981350103222937,0.05212981906519716,0.07760869573168154,0.17485306072857099,0.2603139284037255,0.06399422405907136,1.9688425939765093,3.8245074256963165
16.62,12.92,4576,70976708967663.97,5.16193408202239,0.1856967935104555,1.6979436113485913,0.09347666941698944,1.4107947124016573,0.3569108020043964,0.049336046735357235,0.11224007195076728,0.13823074689330786,0.3144765339699209,0.07955804693915823,1.763767835924154,3.926460335013816
16.63,13.59,4611,68561567072042.375,5.024998328825691,0.2148232114805371,1.6968311610856397,0.09342163269853711,1.1177980415522495,0.2917619781832674,0.05269282552833815,0.003151799995900139,0.18060209852032083,0.010802641302083466,0.0028196506692061635,2.1734505038560807,3.8165849764676434
16.64,12.6,4563,72244436753117.34,5.258920653034703,0.14308040517439166,1.5267702737238995,0.07394818172765111,1.5480915535133066,0.38662144805557974,0.11492336253643895,0.009223735484502732,0.2972503546153959,0.023857278303858483,0.005958133072666137,1.8083949373416108,4.023981472369299
16.65,13.14,4600,70224778112226.734,5.129000748697392,0.2468889560277281,1.7742949340726193,0.10071254266347497,1.3294483929246348,0.18113704307643902,0.019287757156698653,0.20543245214645808,0.10648157234497477,1.1341272257589328,0.15452457819331378,1.8258196123859467,3.904706716568499
16.66,13.8,4630,68100024141579.14,5.002406620832832,0.21443357696934162,1.6981852508624513,0.09375257996072006,1.1607093148809788,0.28996923793090656,0.05269091430006359,0.04971766516203247,0.18171208324042532,0.17145841233641176,0.042833864193750015,2.0461294428079846,3.7960034642580656
